# Loaded config: /home/cstansbu/git_repositories/cell_cycle/pipelines/TrajectoryNet/config.yaml
adata: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/inputs/adata.h5ad
input: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/inputs/input_15comp_6time.npz
output: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/outputs
integration_args:
  times:
  - 10
  - 100
  - 200
args:
  dataset: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/inputs/input_15comp_6time.npz
  embedding_name: pca
  save: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/outputs
  niters: 500
  max_dim: 20
  time_scale: 0.5
  use_density: true
  rtol: 1e-4
  atol: 1e-5
  top_k_reg: 1.5
  batch_size: 8192
  vecint: 1e-5
  lr: 1e-2
  whiten: true
  training_noise: 0.0
  weight_decay: 1e-5
==================================================  SETTING UP MODEL  ==================================================
torch=2.7.1 | cuda=12.9 | cudnn=91200 | cuda_available=True
device=cuda:0 / 1 gpus | name=NVIDIA A100 80GB PCIe MIG 3g.40gb
capability=8.0 | mem_free=38.97 GiB / mem_total=39.25 GiB
==================================================  TRAINING  ==================================================
Density Loss 0.9777446985244751
Density Loss 0.9800306558609009
Density Loss 0.9720637202262878
Density Loss 0.9815277457237244
Density Loss 0.9689485430717468
Density Loss 0.996739387512207
Density Loss 0.9933075308799744
Density Loss 0.9815952181816101
Density Loss 0.9806579947471619
Density Loss 0.9540237784385681
Density Loss 0.9824582934379578
Density Loss 0.9719435572624207
Density Loss 0.980136513710022
Density Loss 0.9592429995536804
Density Loss 0.9771998524665833
Density Loss 0.9740507006645203
Density Loss 0.9831547737121582
Density Loss 0.9698482751846313
Density Loss 0.9711548089981079
Density Loss 0.9556642770767212
Density Loss 0.9722225069999695
Density Loss 0.9621944427490234
Density Loss 0.9730365872383118
Density Loss 0.96337890625
Density Loss 0.9711402058601379
Density Loss 0.9752358794212341
Density Loss 0.9858129620552063
Density Loss 0.9803687930107117
Density Loss 0.9772878885269165
Density Loss 0.9710306525230408
Density Loss 0.9727898836135864
Density Loss 0.9612511992454529
Density Loss 0.9467208981513977
Density Loss 0.9345380663871765
Density Loss 0.9746403694152832
Density Loss 0.9621923565864563
Density Loss 0.9753457307815552
Density Loss 0.9609010815620422
Density Loss 0.950692355632782
Density Loss 0.9636678695678711
Density Loss 0.9405450224876404
Density Loss 0.9738273620605469
Density Loss 0.945368766784668
Density Loss 0.9643961191177368
Density Loss 0.951015293598175
Density Loss 0.9822345972061157
Density Loss 0.9573575854301453
Density Loss 0.961115300655365
Density Loss 0.9586837887763977
Density Loss 0.9539278149604797
Density Loss 0.9597445726394653
Density Loss 0.9515447616577148
Density Loss 0.9435798525810242
Density Loss 0.9432220458984375
Density Loss 0.9475706219673157
Density Loss 0.9581972360610962
Density Loss 0.9602144360542297
Density Loss 0.9570358395576477
Density Loss 0.9809350967407227
Density Loss 0.9502095580101013
Density Loss 0.9676054120063782
Density Loss 0.9663028120994568
Density Loss 0.9563267827033997
Density Loss 0.966911256313324
Density Loss 0.9794996380805969
Density Loss 0.9467644095420837
Density Loss 0.963005542755127
Density Loss 0.9661657214164734
Density Loss 0.953011691570282
Density Loss 0.9587944149971008
Density Loss 0.9572082757949829
Density Loss 0.950844407081604
Density Loss 0.9431142210960388
Density Loss 0.9576541185379028
Density Loss 0.9548240900039673
Density Loss 0.9526556134223938
Density Loss 0.9508476257324219
Density Loss 0.9554449319839478
Density Loss 0.9841890335083008
Density Loss 0.9666183590888977
Density Loss 0.9786806106567383
Density Loss 0.9674944877624512
Density Loss 0.9351674914360046
Density Loss 0.9431228637695312
Density Loss 0.9571690559387207
Density Loss 0.973102867603302
